Designator,Mid X,Mid Y,Rotation,Layer
C1,131.61,-105.71,90.0,top
C10,146.75,-140.075,270.0,top
C11,151.5,-141.869887,90.0,top
C14,133.5,-110.5,0.0,top
C15,145.5,-118.0,0.0,top
C16,133.044888,-99.0,0.0,top
C17,129.5,-149.5,180.0,top
C18,137.0,-144.0,180.0,top
C19,142.0,-129.0,270.0,top
C2,114.4,-101.65,270.0,top
C20,135.775,-61.75,270.0,top
C21,149.8,-64.1,180.0,top
C22,129.0,-79.0,0.0,top
C23,94.0,-124.0,90.0,top
C25,133.5,-74.0,0.0,top
C26,139.9,-72.7,0.0,top
C27,118.5,-136.0,180.0,top
C28,89.5,-117.0,270.0,top
C3,99.9,-102.475,0.0,top
C31,141.5,-90.0,270.0,top
C32,99.15,-145.25,180.0,top
C33,157.0,-134.4,90.0,top
C34,153.75,-155.65,0.0,top
C8,117.5,-144.0,180.0,top
C9,112.5,-151.455113,90.0,top
CU1,138.5,-79.0,0.0,top
D1,131.0,-131.225,270.0,top
F1,107.5,-150.5,0.0,top
FB2,138.9125,-85.0,0.0,top
FB3,93.7875,-115.9,180.0,top
H1,163.95,-62.05,0.0,top
H2,163.9,-157.6,0.0,top
H3,90.35,-62.1,0.0,top
H4,90.35,-157.65,0.0,top
J2,102.05,-158.45,0.0,top
J3,90.2,-87.2,180.0,top
L1,143.0,-104.5,0.0,top
L2,160.2,-145.25,270.0,top
Q1,140.375,-112.0,0.0,top
Q2,148.5,-123.5,0.0,top
Q3,146.0,-112.0,0.0,top
Q4,154.4375,-123.05,180.0,top
Q5,148.9375,-128.55,180.0,top
Q6,120.15,-158.3875,90.0,top
Q7,118.1375,-152.95,0.0,top
R1,141.5,-157.0875,90.0,top
R10,140.5,-142.5875,90.0,top
R11,128.7,-114.1875,90.0,top
R12,129.5,-119.4125,90.0,top
R13,137.4125,-139.0,180.0,top
R14,137.4875,-135.25,0.0,top
R15,96.2,-138.1375,90.0,top
R17,129.3625,-70.0,180.0,top
R18,103.1,-135.1,180.0,top
R19,110.0,-135.9125,90.0,top
R2,146.9125,-155.5,0.0,top
R20,128.5875,-75.0,0.0,top
R21,102.9125,-130.0,180.0,top
R22,104.0375,-99.0,180.0,top
R23,93.3375,-102.375,0.0,top
R3,118.9125,-99.0,180.0,top
R4,99.0,-149.5,90.0,top
R5,103.85,-150.2375,90.0,top
R6,124.9125,-136.0,0.0,top
R7,126.5,-127.5,90.0,top
R8,147.0375,-133.0,0.0,top
R9,118.9125,-149.5,0.0,top
SW1,125.25,-107.0,180.0,top
SW2,110.452,-107.036,180.0,top
SW3,96.5,-107.0,180.0,top
U1,124.85,-154.45,0.0,top
U2,147.5,-148.5,0.0,top
U3,136.7,-121.2,0.0,top
U4,95.9,-89.78,0.0,top
U5,104.8,-119.4,90.0,top
U6,104.85,-142.45,90.0,top
Y2,113.65,-113.9,270.0,top
